timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1656434172333,3,HTTP Request,200,OK,Thread Group Start 1-174,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172338,2,HTTP Request,200,OK,Thread Group Start 1-175,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172343,3,HTTP Request,200,OK,Thread Group Start 1-176,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,2
1656434172348,2,HTTP Request,200,OK,Thread Group Start 1-177,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172352,3,HTTP Request,200,OK,Thread Group Start 1-178,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172356,3,HTTP Request,200,OK,Thread Group Start 1-179,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172361,2,HTTP Request,200,OK,Thread Group Start 1-180,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172365,2,HTTP Request,200,OK,Thread Group Start 1-181,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172371,2,HTTP Request,200,OK,Thread Group Start 1-182,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172375,2,HTTP Request,200,OK,Thread Group Start 1-183,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172379,3,HTTP Request,200,OK,Thread Group Start 1-184,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,2
1656434172384,2,HTTP Request,200,OK,Thread Group Start 1-185,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172388,3,HTTP Request,200,OK,Thread Group Start 1-186,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,2
1656434172393,2,HTTP Request,200,OK,Thread Group Start 1-187,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172397,2,HTTP Request,200,OK,Thread Group Start 1-188,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172400,3,HTTP Request,200,OK,Thread Group Start 1-189,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,2
1656434172405,2,HTTP Request,200,OK,Thread Group Start 1-190,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
